term,definition
Common misconception about email deletion and legal discovery,Email is almost never truly deleted; it can usually be recovered in investigations — high liability risk.
Key traits of an effective Communications-Systems Policy (CSP),"Must be written, legally vetted, and educate users on risks; a purely verbal policy is inadequate."
Quick definition: what makes a dummy run different from reading the manual?,Manual = understanding usage; dummy run = executing a test case with known results inside the software.
Client presses for drawings,"Tell the client it's a top priority but release the drawings only after a full, careful review."
Core rule of the federal Fisheries Act (Canada),It forbids activities that could harm fish habitat (habitat-protection clause).
Director who owns shares in a bidder,What must you do? Declare the conflict and abstain from the vote.
Qualifications-Based Selection (QBS),How is the consultant's detailed scope of services produced? Client and consultant develop the scope jointly.
Software-verification term,Run a simple test case with a known answer to see if the code behaves. Dummy run / sanity check.
McGregor's Theory Y view of employee motivation,"Employees naturally like to work and, if properly motivated, will exceed expectations."
Three Code-of-Ethics options when employer's order endangers the public,(1) Correct the problem (2) Whistle-blow (3) Resign in protest.
"Why is it wrong to seal ""66 % complete"" design drawings?",Only final professional work products may be sealed; preliminaries stay un-stamped.
"Collegial (Theory Y) management style: How do staff operate, and what is the manager's role?

(""Collegial"" just means ""cooperative and friendly, like colleagues working together as equals,"" not anything to do with college classes. It comes from the same root as ""colleague,"" meaning peers, rather than from ""college.""
Ask ChatGPT)","Staff work autonomously within an agreed framework; the manager acts as a facilitator—providing guidance, resources and removing obstacles—rather than micromanaging each task.

Example: A design team defines its own milestones and divides tasks among themselves; the manager checks in to offer support or training but doesn't assign or oversee every detail."
Accepting a job with a client's competitor,New contract must not require disclosure of former client's confidential affairs.
Recommending your brother-in-law for paid work,What must you do first? Fully disclose the relationship to the client to manage the conflict of interest.
Designing safely when codes are missing,Deviate from or exceed the code using accepted engineering principles to protect the public.
Primary purpose of technical standards,"To guarantee quality and uniformity of materials, products, or processes."
Global climate pact adopted in 2015,"Paris Agreement, aiming to keep warming 'well below 2 °C'."
When must design software be re-validated/quality-checked?,"Every time it is updated, patched, or re-configured."
What does a Commercial General Liability (CGL) policy cover for engineering businesses?,Third-party bodily injury and property damage.
Indigenous-reserve projects: why can't you finance by mortgage?,Mortgages can't be registered on reserve land because the land is generally unpatented (Crown/Indigenous ownership).
"Canadian law that governs how private-sector firms collect, use & disclose personal data",PIPEDA - Personal Information Protection and Electronic Documents Act.
Builders'/Construction Lien Acts - when can a professional file a lien?,Allowed if the engineer/geoscientist is a prime consultant (not merely a sub-consultant).
Must money always change hands to form a contract?,"No. Consideration can be anything of value, not necessarily cash."
"Sexual-harassment cases are heard where, and how broadly is harassment defined?","Human-rights tribunal; takes a wide view - unwelcome comments or advances suffice, no physical assault needed."
"What offence involves buying shares based on confidential test results, and under which law is it prohibited?","Insider trading - illegal under the Criminal Code of Canada, section 382.1."
Federal law requiring consultation & accommodation with Indigenous peoples on claimed land,"Duty rests on the Crown (government) for any project on claimed land, proven or unproven."
Accurate description of force majeure clause,"Excuses delay for events beyond parties' control (e.g., strikes, fires, pandemics)."
What must a consultant and client do under Qualifications-Based Selection (QBS) for scope?,Jointly develop the detailed scope of services after selection.
Subsurface anchors installed without consent on a neighbour's land,Is it trespass? Yes. Property rights extend below and above the surface; unauthorized encroachment is trespass even if harmless.
Canadian tort law - professionals' duty to warn,Obligation to warn of impending damage or personal injury when they become aware of it.
"For liability in tort, the defendant's act must be ___ or ___",Intentional or negligent.
Canadian Environmental Protection Act 1999 - enforcement powers,CEPA officers have powers comparable to police; not 'significantly less.'
"What does ""privileged"" mean for statements made during negotiation?",They cannot be used as evidence in any later court or arbitration proceedings.
Is different pay for the same job always discrimination?,"No - employers may differentiate on legitimate grounds such as greater experience or tenure; human-rights statutes bar discrimination only on protected grounds (sex, race, age, etc.)."
Two clauses every multi-jurisdiction contract needs to avoid a conflict-of-laws fight,• Governing-law clause (which jurisdiction's law applies) • Forum/venue clause (which courts will hear any dispute).
"Negligence, contracts, insurance - similarity of rules across Canada's common- & civil-law systems",Basic principles are fairly consistent in both systems; differences seldom affect normal engineering practice.
Proper role of an expert witness,"Give neutral, independent technical opinion - not act as advocate for either party."
Case citation '2 S.C.R. 547 (1998)',"'2' represents the volume number of the Supreme Court Reports, not a chapter."
"Why is construction litigation often slow and costly?

Litigation: the process of resolving disputes in court
Specs: short for ""specifications,"" the detailed description of work and materials","Because it typically involves many stakeholders (owners, general contractors, subcontractors, suppliers) plus massive volumes of technical records—drawings, specs (detailed requirements), emails—that lawyers must painstakingly review.

Example:A delay dispute on a high-rise can drag on 12 months when counsel from the owner, GC and three subs pore over 10,000 emails and 800 CAD drawings—each page adding hours of billable time."
Canadian court level for Charter of Rights & Freedoms cases,Supreme Court of Canada.
"Harris, Pritchard & Rabins 'Golden Rule' for engineers abroad",Professionals should not impose their own choices on local people.
Liability of Partners in a General Partnership-What liability do partners face for partnership debts and wrongful acts?,"▪️ Definition: In a general partnership, all partners are jointly and severally liable for the firm's debts and any wrongful acts, even if they didn't cause them.
▪️ Meaning of ""jointly and severally"": Each partner can be held responsible both together (jointly) and on their own (severally) for the entire obligation.
▪️ Example: The partnership owes a supplier $50 000. The supplier can sue Partner A alone for the full $50 000, or any other partner, regardless of who actually ordered the goods."
"Negligence, contracts, insurance across Canada's systems",Basic principles are fairly consistent in both systems; differences seldom affect normal engineering practice.
Quebec Civil Code on contract interpretation,Code says common intention prevails over literal text.
Three elements of Canada's Constitution,1) Division of powers between federal & provincial governments 2) Creation of the courts 3) Canadian Charter of Rights and Freedoms.
Duty of every worker under Occupational Health & Safety Acts,To take reasonable care to protect the health and safety of co-workers and anyone nearby while the worker is working.
Trade-name vs. trademark,A trade name is only a provincial business registration.
What is mediator confidentiality in dispute resolution?,"Definition: All communications (written or spoken) shared with the mediator during a mediation are legally privileged, meaning they cannot be disclosed or used later in arbitration or court.
Key term: Privileged - protected by law from being revealed as evidence.
Example: In private caucus, Company A admits it overlooked a safety risk. That admission stays in mediation and can't be brought into a later lawsuit."
10% bid bond,"Guarantees that the winning bidder will enter into the contract and supply performance security; if the bidder backs out, the surety pays the owner up to the bond amount (typically 10% of the bid)."
TN entry for Canadian engineer,Proof of Canadian or Mexican citizenship + a letter or contract describing the professional purpose of entry.
What is Governing-law clause?,"Definition: A governing-law clause is a part of a contract that tells which state or country's laws will be used to decide any arguments about the deal. It helps everyone know in advance where to go and what rules to follow if they disagree. By choosing a specific jurisdiction, the parties reduce surprises and legal costs. This clause appears near the end of most agreements. It's especially important in deals crossing borders.
Key term: Jurisdiction → the legal authority or region whose courts and laws apply.
Example: ""Imagine two companies—one in California and one in Germany—signing a sales contract. They include a governing-law clause saying California law will apply. Later, they disagree over payment terms. Both sides then know they must ask a California court to interpret the contract. This saves time debating which country's rules to use. It makes the legal process clearer and faster.""
Persian (Farsi): BANDE GHANOON-E HAKEM!"
Forum/venue clause,States which courts will hear any dispute in multi-country deals.
What is a no-damages-for-delay clause in a construction contract?,"Blocks a contractor from claiming extra ""damages"" (compensation) for delays they cause, but doesn't stop claims if the owner orders a shutdown.

• Example: If a crew miss-schedule causes a week's delay, the contractor gets no extra pay. But if the owner suspends work for permits, the contractor can recover added costs."
What is a per-diem rate and when is it best used?,"Definition: A fixed daily fee paid to a consultant (""per diem"" = ""per day"").
Use it when: The project's scope or hours can't be accurately predicted—gives cost certainty and flexibility.
Example: Hiring a site manager at $800/day, whether they oversee 1 task or 10 tasks in a day."
What is quantum meruit and when can you use it?,"Definition: Latin for ""as much as deserved."" Allows you to recover a reasonable value for services and materials when no formal contract exists but the work was accepted.
Example: You clear a flooded basement in an emergency without a contract; the homeowner benefits and refuses to pay—so you sue on quantum meruit to get paid fairly."
Occupational Health & Safety Act,"Employers must provide — and workers must help maintain — a safe, healthy workplace."
What is the standard term of copyright protection in Canada?,Copyright lasts for the life of the creator plus 70 years.
Human Rights Code,"Statute that bans hiring discrimination based on disability (or age, religion, etc.)."
"Loser-Pays Cost Rule-What is it, and why does it matter?","▪️ Definition: A rule in many legal systems where the party that loses a lawsuit must pay a portion (or all) of the winning party's legal costs.
▪️ Purpose: Deters frivolous or weak claims by adding a financial consequence for the loser.
▪️ Example:Acme Corp sues Beta Ltd over a minor contract ambiguity. The court finds in Beta's favor and orders Acme to pay Beta's legal fees. Acme thinks twice before filing similar baseless suits in the future."
Workers'-comp premiums,Calculated per employee and adjusted for the risk level of the employer's industry.
Arbitration in construction contracts,"Construction contracts often use arbitration instead of court because it is generally faster, cheaper, and private compared with litigation."
Entering the U.S. as a Canadian engineer under CUSMA/USMCA,Proof of Canadian citizenship + a letter or contract stating the professional purpose (TN category).
Change order,A simple written device that records the price change stating the extra (or credit) and revised contract price.
Key difference: Québec Civil Code vs. Common-law courts,Civil Code puts less weight on case precedent; Common Law relies on it heavily.
Five things that make a contract enforceable,"Offer/acceptance, mutual intent, consideration, capacity, and a lawful purpose (the deal itself can't be illegal)."
Legal systems used in Canada,Common law (everywhere except Québec) and Civil law (Québec).
"What's the golden rule for expert witness testimony?
(Expert witness = a specialist who gives opinion evidence in court)","Only offer opinions on matters within your documented expertise.

• E.g., a geotechnical engineer shouldn't testify on electrical circuitry."
CCDC 2,"A standard Canadian fixed-price construction contract form issued by the Canadian Construction Documents Committee.

Example: A municipality uses CCDC 2 to award a $5 million bid for its new library, locking in the price and scope agreed in the contract."
Material Mistake-What is a material mistake in contract law?,"A material mistake is a significant error about a fact central to the contract that existed when the agreement was made, allowing the mistaken party to void the contract.

Example: Alice buys what she believes is an original painting. After signing, she learns it's a cheap replica. Because authenticity was essential, she can cancel the deal.

Difficult word:
Voidable - able to be legally canceled or undone by one party."
Doctrine of Estoppel-What stops a party from enforcing strict contract terms after they've let the other side ignore them?,"A legal rule that prevents someone from insisting on a strict contract right if they previously waived it or led the other side to believe they would be lenient.

Example: A landlord accepts late rent for months without penalty. Later, they cannot suddenly enforce a late‐fee for those same missed due dates.

Difficult word:Waive - to voluntarily give up a right."
Common-law trademark rights,Most affordable way to secure a business name if you're already using it widely in Canada.
Duration of Canadian copyright after creator's death,Life of the author plus 70 years.
Goal of arbitration versus court on construction jobs,"Generally cheaper, faster, and private compared with litigation."
What are the five essential elements required for a contract to be legally enforceable in Canada?,"O A M C L → Offer/Acceptance, Mutual intent, Consideration, Capacity, Lawful purpose.

The five elements are: Offer and Acceptance, Mutual Intent to be bound, Consideration (something of value exchanged), Capacity (parties' legal ability to contract), and Lawful Purpose (legal objective).Example: A P.Eng. offers to design a bridge, the client accepts, both intend to be bound, payment is agreed, both are competent, and the purpose is legal. (Syllabus topic I.3, Law text p.12 or p.18)"
Discipline Committee,"Issues the order of discipline (fine, suspension, etc.) when a formal engineering-discipline hearing finds a member guilty."
Discipline vs. Enforcement,"The association charges a member with incompetence or breaching the Code of Ethics, then holds a hearing."
Discipline order effect,The discipline order takes effect immediately; no formal hearing is held if the investigated engineer admits misconduct and accepts the proposed penalty.
Typical order for a Practice Review Board (PRB) check,1️⃣ Review the firm's written practice/quality procedures 2️⃣ Meet or interview key staff 3️⃣ Issue a report with findings & recommendations.
Main purpose of a practice review of a firm,"To verify the firm has and follows an adequate practice plan and to flag risks or gaps, not to judge business performance."
How does the Practice Review Board (PRB) verify the honesty and accuracy of members' self-reported CPD records each year?,"Each year, the Practice Review Board (PRB) audits (officially checks) a random sample of submitted Continuing Professional Development (CPD) records to verify their accuracy and honesty."
Engineers Canada's reason for CPD in one word,"Maintains competence, a core duty in every Code of Ethics."
"If two parties to an arbitration can't agree on a single arbitrator, how is the arbitrator chosen?","Either party may ask the court to appoint the arbitrator.

Arbitrator: a neutral third party who resolves the dispute."
Arbitration appointment for low-quality fabric dispute,A court can appoint the arbitrator upon request if parties picked arbitration but can't agree on an arbitrator.
Mandatory CPD Programs - What are they and who must do them?,"Continuing Professional Development (CPD) programs mandate ongoing learning (courses, workshops, etc.) to maintain professional competence. They're now required not just for engineers, but also for doctors, lawyers, accountants and others—both across Canada and around the world.

Example: An Ontario engineer must log ≥30 CPD hours/year to renew their P.Eng.; a UK physician must complete 50 CPD credits annually.
Ask ChatGPT"
Personal benefit of keeping up CPD hours,Better chance of promotions or pay-raises - you're more valuable to employers.
Reviewer action after failing a practice review,Recommend the member be disciplined (discipline = official penalties from the regulator).
Incompetence,Lack of adequate skill or care.
PRB (Practice Review Board),"A committee of experienced professionals appointed by the association to audit members' competence and Continuing Professional Development (CPD) records, ensuring they meet practice standards."
CPD records audit,"To check self-reports are fair and honest - i.e., truthful and complete."
Certificate of Authorization / Permit to Practise,Allows the firm to practise engineering / geoscience through employees who are P.Eng./P.Geo. licence-holders.
Trigger not used for Association individual Practice Review,"""Being internationally educated."""
Public access to Discipline-Committee hearings,"Generally open to the public, closed only if security / confidential matters are involved."
Main reason associations audit members' CPD logs,To verify self-reported hours are fair & honest (truthful).
Appeal after Practice Review Board (PRB) Decision,"A member may appeal any PRB decision to the Association's Appeal Board, which will re-examine the finding and can confirm, modify, or overturn it.
Appeal Board (a short definition): a committee that reviews and changes (if needed) decisions made by the PRB."
Committee membership restriction: Can you serve on both the Investigation (Complaints) Committee and the Discipline Committee?(Investigation Committee - gathers and reviews complaints; Discipline Committee - holds formal hearings),"No - you may join only one committee at a time, ensuring the investigative and disciplinary stages stay independent and impartial."
Association's power against unlicensed person,"Starts an Enforcement process against the non-member (not Discipline, which is only for members)."
Possible money consequences after misconduct,"Member may have to pay the hearing costs and a fine (up to ~$5-15 k, varies by province)."
Personal benefit of CPD,Better chance of promotions / pay raises - you become more valuable.
Three federal environmental statutes,"Canadian Environmental Protection Act (CEPA), Fisheries Act, Canadian Environmental Assessment Act (CEAA)."
"What is the purpose of PIPEDA in Canada, and who does it apply to?

PIPEDA (Personal Information Protection and Electronic Documents Act)","PIPEDA (Personal Information Protection and Electronic Documents Act) governs how private-sector organizations collect, use, and disclose personal information in Canada, ensuring privacy protection.

Example: An engineering firm must obtain client consent before sharing their personal data with a third party for project purposes. (Syllabus topic I.3, Law text p.12 or p.18)"
Legally enforceable part of a patent,The Claims section - it defines the protected features of the invention.
What triggers the requirement for a prime contractor under Canadian Occupational Health and Safety (OHS) regulations for a construction project?,"The requirement for a prime contractor is triggered when two or more employers work simultaneously at a construction site. The prime contractor, designated in the contract, coordinates and ensures the safety of employees and the public. If not specified, the owner assumes this role.

Example: A site with a plumbing and framing contractor requires a prime contractor to manage safety, like ensuring fall protection. (Syllabus topic I.2, Ethics 5th ed. p.146 or 6th ed. p.145)"
Definition of an occupational disease / illness in OH&S Acts,A disease or ill-health directly caused by the work or workplace.
Main goal of WHMIS,Give trained workers clear information (labels + SDS) when handling hazardous materials.
Unprofessional conduct example,Leading others to believe you're still registered when you're not.
Cross-licensing,lets both patentees use each other's inventions legally when one patents an improvement to the other's invention.
Consideration,Any amendment must be backed by new consideration (something of value exchanged).
Tort,"civil wrong (negligence, etc.)."
Letter of intent,short note showing intent to sign a full contract later.
Moral rights,"personal, non-economic creator rights; right to be credited & to protect the work's integrity."
Industrial-design application,"needs name, fee, drawings; a descriptive statement of unique features is optional."
Expert witness,Help judge/jury understand technical issues and add credibility (expert opinion is admissible).
Movable tangible personal property,Chattels.
Fundamental breach,"A failure that strikes at the 'root' of the deal, so the other side may treat the contract as terminated and sue for loss."
Usual split of content in Canadian Acts & Regulations,Act = purpose & principles; Regulation = detailed rules for applying the Act.
Disability-based discrimination,Can be allowed if the job genuinely cannot be done with the disability (a 'bona fide occupational requirement').
Why 'gelato' is un-registrable as a Canadian trademark,It's a descriptive foreign word for the goods themselves; such marks are refused.
Obligations in a performance bond,Primary obligations / Secondary obligations.
After ADR uncovers professional misconduct,ADR stops and a formal complaint goes to the regulator to protect the public.
Allowed ways to end a contract after contractor's fundamental breach,(1) Keep contractor & sue for damages or (2) Terminate & sue for damages.
Role technical societies do not perform,They do not license practitioners (that's the provincial regulator's job).
Historic event after which Canadian technical societies multiplied rapidly,After World War II - the post-war boom in engineers/geoscientists sparked many new societies.
CFES membership,You cannot join the federation directly; join one of its member societies and you're automatically included.
What is a federation?,"A federation is like an umbrella that brings together several separate societies so they can speak with one big voice.

Example: The Canadian Federation of Earth Sciences unites various provincial geoscience societies under one national group to tackle issues like funding and advocacy together."
Use of supervisor's seal,No - only the P.Eng. who owns the seal may sign & seal.
Unauthorized practice,Verbally claiming to be an engineer after licence expiry = unauthorized practice.
Bylaws,Internal operating rules of the association.
Technical society services,"Publishes journals, codes & standards (plus networking)."
Unregulated geoscience jurisdictions,Yukon & Prince Edward Island.
Agreement on Internal Trade (AIT),Trade agreement that lets a licensed P.Eng. move from NS to Alberta (or vice-versa) with minimal paperwork.
Acceptable title for 2-yr Member-/Engineer-in-Training,"""Senior Technical Analyst"" - avoids the protected word Engineer."
Copyright in Canada,Protection is automatic the moment the work is fixed; registration just adds proof.
Public disclosure and patents,Any pre-filing public disclosure can bar patentability.
Per diem pay,Payment per day worked - useful when project scope is undefined.
Licensing power of Associations,Only provincial/territorial Associations can licence P.Eng./P.Geo.; technical societies cannot confer legal licences.
Discipline-oriented society,"A society focused on a single profession, organized by field rather than region."
Sealing a drawing,Both engineers must stamp; each writes their area of responsibility beside their seal.
Core licensing criteria,1. Accredited degree 2. 4 yrs qualifying experience 3. Law-&-ethics exam (NPPE); many need a good-character check.
Registered Trademark in Canada,"Registered TM is valid for 10 years, renewable every 10 years (post-2019)."
Public disclosure that can bar patents,Advertising your invention before filing counts as public disclosure and can bar a patent.
Most-important criterion in work-experience assessment,Application of theory is rated highest.
EIT signs 'P.Eng.',Could face Enforcement (or Discipline if EITs are classified as members) for illegal title use.
Persian translation of liable,"مسئول، پاسخگو ( بار منفی داره )"
Client,کارفرما (کسی که برای یک پروژه مهندس هایر می کنه)
"Persian translation of ""paying dues""",پرداخت حق عضویت
"Which of the following is NOT typically a principle found in most engineering and geoscience Association Codes of Ethics?
A) Stay informed and continually develop one's knowledge
B) Ensure appropriate and adequate compensation for engineering work
C) Participate in Association voting activities
D) Hold paramount the safety of the public",C) Participate in Association voting activities
"In Canada, how is the professional status and practice of engineers primarily regulated?
A) Self-regulated
B) Regulated by incentives
C) Regulated by the government
D) Deregulated",A) Self-regulated
National Instrument 43-101 was introduced to regulate the ____________ of precious metal discoveries in Canada.,disclosure
The purpose of a Letter of Assurance is to confirm that the construction was completed in accordance with the ____________ and ____________ signed and sealed by the professional.,plans / specifications
"Which of the following is *NOT* a valid way for a professional to fulfill their duty to themselves?
a) Insist on adequate payment from your client or employer.
b) Insist that you are awarded all rights under the Charter of Rights and Freedoms.
c) Insist that your best interest is a priority.
d) Insist that you are provided with a satisfactory work environment.",c) Insist that your best interest is a priority.
"According to most Occupational Health and Safety Acts, who is responsible for *supplying and who is responsible for using* personal protective equipment (PPE)?
a) Employer supplies / Worker uses
b) Supervisor supplies / Worker uses
c) Worker supplies / Employer uses
d) Provincial association supplies / Employee uses",a) Employer supplies / Worker uses
"The ""cradle-to-grave"" approach in hazard assessment considers:
a) Worst-case scenarios and their likelihood
b) Whether construction standards will become outdated
c) Hazards across all age groups in the affected population
d) All potential hazards from construction through to decommissioning",d) All potential hazards from construction through to decommissioning
"In a construction project involving multiple contractors, the individual responsible for coordinating safety and ensuring the protection of both employees and the public is called the ___________.
a) health and safety coordinator
b) prime contractor
c) project lead
d) director of public safety",b) prime contractor
"In a construction project, the individual specified in the contract as responsible for safety is called the __________, and is responsible for the safety of __________.
a) health and safety coordinator / employees and the public
b) prime contractor / employees and the public
c) project lead / employees only
d) director of public safety / the public only",b) prime contractor / employees and the public
"What is the common calculation used to determine the Factor of Safety in engineering design?
a) Ratio of benefits to risks to society
b) Ratio of load capacity to expected load on a structure or system
c) Total project cost plus insurance
d) Added safety cost plus damage insurance",b) Ratio of load capacity to expected load on a structure or system
"________ is the regulatory function focused on preventing unlicensed individuals from using protected titles like ""P.Eng."" or practicing without authorization.",Enforcement
"Which of the following is considered a classic example of a soft skill essential in engineering and geoscience?
A) Data analysis
B) Equipment calibration
C) Teamwork
D) Sample collection",C) Teamwork
"Which ethical theory focuses on achieving ""the greatest good for the greatest number""?",Utilitarianism (Mill)
"In Canada, copyright protection lasts for the creator's life plus how many years after their death?
A) 20 years
B) 50 years
C) 70 years
D) 100 years",C) 70 years
"Which of the following is considered intellectual property?
A) A purchased smartphone
B) A patent for a new engine design
C) A factory building
D) Office furniture",B) A patent for a new engine design
"Physical property refers to _______ that an individual or group owns, such as a car or television.","a tangible, physical item"
"What type of intellectual property can have its ownership extended indefinitely through renewals?
A) Patents
B) Copyrights
C) Designs
D) Trademarks",D) Trademarks
"Utilitarianism is an ethical theory that emphasizes actions that produce:
A) Maximum personal gain
B) Absolute adherence to rules
C) Respect for individual rights
D) The greatest good for the greatest number",D) The greatest good for the greatest number
"What is the Persian (Farsi) translation of ""legal precedent"" or ""court precedent""?",رویه قضایی (roviyé ghazâ'i)
What does the acronym M.I.T. stand for in the context of professional licensing in engineering or geoscience?,Member-in-Training
"What is the Persian (Farsi) translation of ""disciplinary hearing""?",بازپرسی یا بازجویی
"What is the Persian (Farsi) translation of ""contract clauses""?",بندهای قرارداد
"Which compensation approach is most suitable when the project scope is clearly defined and unlikely to change?
A. Per diem
B. Lump sum
C. Base rate + meal allowance
D. Percentage of project costs",B. Lump sum
A fixed daily amount paid for each day of service—regardless of hours worked or task complexity—is known as a __________.,per diem
"Quantum meruit is Latin for ""as much as he/she __________.""
(Fill in the missing word.)",deserves
"Under most OHS Acts, when a job requires personal protective equipment, it is the *______'s responsibility to ensure the PPE is worn/used, and the ______*'s responsibility to supply it.",Worker ; Employer
Participation in the Iron Ring ceremony is __________ (required / voluntary) for licensure as a professional engineer in Canada.,Voluntary — it is *not required* for licensure.
"Name *two* common ""soft skills"" that engineers or geoscientists are expected to develop: ________ and ________.","Typical answers include:
- Teamwork
- Communication
(Other acceptable soft skills: supportive supervision, leadership, conflict-resolution, adaptability, etc.)"
True or False: The iron or earth science ring indicates that the wearer is fully licensed by their provincial/territorial association.,"False. The ring signifies an ethical oath, not licensure."
"Q: Under the Canada Free Trade Agreement, a licensed engineer or geoscientist wishing to relocate and continue practice within Canada can easily be licensed in _________.
A) all of Canada's territories, but not in the provinces
B) all of Canada's provinces, but not in the territories
C) all of Canada's provinces and territories
D) in 4 of Canada's provinces and territories, including Alberta, British Columbia, Nunavut, and Nova Scotia",A: C) all of Canada's provinces and territories
"Q: Which of the following is true about obtaining experience credit for a Master's degree in engineering?
A) All engineering associations in Canada grant 1 year of experience credit for any Master's program.
B) Only some associations, like APEGA and EGBC, may grant experience credit for a Master's program, typically if it is thesis-based.
C) All Master's programs are guaranteed to count for experience credit.
D) Master's degrees automatically count as 2 years of work experience.","A: B) Only some associations, like APEGA and EGBC, may grant experience credit for a Master's program, typically if it is thesis-based."
"Q: According to the Professional Engineers Act, which duty takes precedence over all others?
A) Duty to the profession
B) Duty to the employer
C) Duty to the public
D) Duty to oneself",A: C) Duty to the public
"Q: When making ethical decisions as a professional, which of the following is mandated by the Canadian Charter of Rights and Freedoms?
A) Decisions must be made independently from religion
B) Decisions must not be influenced by professional gain
C) Decisions must be free from personal bias
D) Decisions must be fair and justifiable, even if they benefit the decision-maker",A: A) Decisions must be made independently from religion
"Q: When facing an ethical dilemma, engineers can follow a process similar to which of the following?
A) Trademarking process
B) The formal discipline process
C) The design process
D) License application process",A: C) The design process
"When an employee is hired under contract to develop software, who is listed as the creator for copyright registration?
A. Employer
B. Employee
C. Jointly
D. Third party",B. Employee
"When an employee is hired under contract to develop software, who is listed as the owner for copyright registration?
A. Employee
B. Employer
C. Jointly
D. Government",B. Employer
Engineers following Mill's Utilitarianism should allocate resources to maximize __________ for the greatest number of people.,overall well-being (happiness and safety)
The principle of Mill's Utilitarianism aims to promote ________ for the ________ number of people.,greatest happiness; greatest
"According to Mill's Utilitarianism, why is allocating more resources to safety in public infrastructure projects preferred?
A. It reduces initial costs
B. It delights a selected few
C. It maximizes well-being for the largest population
D. It enhances visual appeal",C. It maximizes well-being for the largest population
The statement that ethical writing came before mathematical disciplines like calculus and statistics is ______.,correct
Ethical writing traces back approximately ____ years ago.,3000
"Which system of government is most consistent with Mill's Utilitarianism?
A. Communism
B. Fascism
C. Democracy
D. Monarchy",C. Democracy
True or False: A democratic government exemplifies utilitarianism by empowering the majority to make decisions that benefit the most people.,TRUE
What must an engineer do when reviewing another engineer's work before sealing it?,Review the work thoroughly enough to feel comfortable taking responsibility for it.
Is there a set rule for how long or how you must review technical drawings?,"No, there is no set rule; the engineer uses professional judgment to decide the review method and duration."
What were some causes of the 1907 and 1916 bridge disasters?,"Engineering errors, poor communication, lack of oversight, and inadequate funding."
What tradition began in 1922 to remind engineers of their ethical duties?,The Iron Ring ceremony.
Two major bridge collapses in 1907 and 1916 killed over 85 workers and led to the first ______ laws for engineers.,licensing
"In Callum's fraud case, can he use double jeopardy to block civil claims?",No. It doesn't apply to civil claims.
What defense stops a second criminal prosecution for the same crime?,Double jeopardy.
Double jeopardy does not block __________ actions.,civil
What kinds of consequences can follow a criminal conviction besides jail?,"Heavy fines, civil damages, and license revocation. (License REVOCATION is the most important one!)"
When would a member use the Code of Ethics?,In complex or unclear professional situations.
When would a member use the Code of Ethics?,In complex or unclear professional situations.
Level ___ is the first level where you can work without supervision.,Level C - Professional Engineer
What are your two obligations when you identify a hazard on a project?,Communicate the hazard's risks to those affected and take measures to eliminate or reduce the risks.
Which level is for senior management roles?,Level F - Senior Management
The ________ is the amount you pay before the insurer covers a claim.,deductible
When may an engineer apply their seal to a document?,Only after a thorough review and feeling able to accept full responsibility.
"Who must seal a drawing that covers structural, mechanical, and electrical engineering?",Each discipline's licensed engineer and the approving professional.
Is a single seal ever sufficient for drawings involving multiple disciplines?,No; each discipline and the approving professional must seal.
Why does the overruling engineer seal the document in an overruling situation?,Because they imposed changes and take responsibility for those changes.
You should only seal once you are ready to accept full __________.,responsibility
Overruling engineers seal because they __________ changes and responsibility.,impose
The seal communicates professional __________ for the work.,accountability
What must you do if you hold stock in a company your employer is considering for business?,Disclose the conflict of interest according to the Code of Ethics.
What is a key difference between Kant's formalism and Mill's utilitarianism?,Formalism focuses on duty; utilitarianism focuses on outcomes.
When does Canadian copyright protection begin for an original work?,Immediately upon its creation.
Is copyright registration required in Canada to protect a work?,No. Copyright protection is automatic upon creation.
"When a worker refuses unsafe work, the employer may ________ them to other duties.",reassign
Does the OHS Act require paid leave when a worker refuses unsafe work?,No. Reassignment to other duties is the prescribed remedy.
Can an employer reassign a worker who refuses unsafe work without it being discrimination?,"Yes, as long as salary and benefits are maintained."
What power does an Engineering or Geoscience Association have when a public complaint is filed against a licensed member?,Discipline the member.
"What is the Persian translation of ""professional negligence""?",سهل‌انگاری حرفه‌ای
What is the Persian translation of Tort?,"The closest Persian word for the legal term ""tort"" is «مسئولیت مدنی» (mas'uliyyat-e madanī), literally ""civil responsibility.""

Example
English: ""Trespass is an intentional tort.""
Persian: «تجاوز به ملک دیگری یک مسئولیت مدنی عمدی است.»"
What is Tort?,"1) Advanced Phrases
Tort : A civil wrong where someone can be sued for harm they caused. Intentional tort A tort done on purpose, not by accident. 2) Simplified ExplanationA tort is a type of wrongful act that hurts someone else and can lead to a lawsuit for money damages. When the act is intentional (done on purpose), it is called an intentional tort—examples are fraud, trespass, and defamation. If the harm happens by accident or carelessness, it falls under negligence, not an intentional tort. In short, tort law deals with making the person who caused the harm legally responsible to compensate the victim."
competence,توانمندی
What is an Act in the context of Canadian law?,"A law passed by the (federal or provincial) government that sets out broad, general rules applicable across the entire country or province."
What is a Bylaw and who creates it?,"A rule or law made by a local body (e.g. a city, municipality or professional association) to govern its own area or members. Bylaws must comply with the overarching Acts but can add extra, localized requirements."
