id,term,definition
card167,Overlap of law and ethics: What's the relationship?,"All criminal acts are unethical, but not all unethical acts are criminal."
card168,"Under Kant’s formalism, who is exempt from basic moral duties like honesty and fairness?",No one. Duties are universal—every person must act in a correct ethical manner. 
card169,IP creation under contract,Creator: the employee; Owner: the employer/client.
card170,Bridge-design choice and Mill's utilitarianism,Allocate more resources to safety for the greater number of users.
card171,What happens if an engineer obeys all client instructions regardless of public welfare?,They violate their professional duty — public safety must come first.
card172,Breach of duty by taking a side job,Duty of loyalty to the employer (competing with your firm).
card173,Codes of Ethics across Canadian jurisdictions,"Each association writes its own, but core principles remain the same nationwide."
card174,Duty to report,"Report any unsafe, unethical, or illegal activity."
card175,Ownership of client drawings,The client owns them; reuse only with the client's express permission.
card176,Exceptions to client/employer confidentiality,"(1) Required by law, (2) Client/employer gives permission, (3) Public-safety override."
card177,Time and confidentiality,No - time alone is NOT a valid reason to disclose confidential information.
card178,Morals vs Ethics,Morals = personal beliefs; Ethics = shared societal principles.
card179,Classic definition of conflict of interest,A situation where a professional has conflicting obligations to different parties.
card180,Which is older: ethical writing or calculus/statistics?,"Ethical writing ≈ 3,000 years old; calculus and statistics date since 17th century."
card181,Branch of philosophy studying reasoning,Logic.
card182,Government system echoing Mill's utilitarian ideal,Democracy.
card183,"In Locke's rights-based ethics, what are the three core rights? ","Life, liberty, and property."
card184,Choosing in ethical deadlock,The one that gives you no personal benefit.
card185,Insider trading,Buying shares on non-public news of a soon-to-be-signed contract is called insider trading - illegal.
card186,Code-of-Ethics duty,"Overcharging a client breaches the Code-of-Ethics duty to conduct yourself with courtesy, good faith, and fairness."
card187,What is a “secret commission” in professional ethics?,"A hidden gift or “kickback” given (or received) to influence a decision—i.e., bribery (e.g., lavish gifts to secure a contract).
(Kickback means a secret payment or reward given in return for helping someone get a deal or advantage.)
(Lavish gifts means Very expensive or generous presents, usually meant to sway someone’s opinion.)"
card188,Professional competence,A professional's competence must extend to any professional service they undertake (not an entire discipline).
card189,Acceptable advertisement,"An advertisement by a professional is acceptable under the Acts if it is factual, clear, and dignified (medium is irrelevant)."
card190,Moonlighting,Moonlighting is ethically acceptable if both your daytime employer and the side-job clients are informed of your limitations.
card191,Code's duty to colleagues,The single phrase that captures the Code's duty to colleagues is to act with courtesy and goodwill toward colleagues.
card192,True happiness (eudaimonia),"In Aristotle's virtue ethics, true happiness (eudaimonia) is achieved by cultivating virtues and using reason to find the balanced 'golden mean.'"
card193,Duty to inform,"Before deviating from an approved design, the duty to inform requires advising the employer of the consequences of the deviation."
card194,Reporting dishonest conduct,Reporting another practitioner's dishonest conduct is viewed as maintaining the honour and integrity of the profession.
card195,Exceptions for disclosure,"The three standard exceptions that allow disclosure of client/employer confidential info are legal requirement, client/employer permission, or necessary to protect public safety."
card196,Sale of Goods Act,"The Sale of Goods Act implies three conditions that every product must satisfy: 1) Usability / fitness-for-purpose 2) Safety 3) Quality.

The Sale of Goods Act is a law that says all sold products must meet three basic standards: they must work properly (fit for their purpose), be safe to use, and be of good quality. Even if these rules aren’t written in a contract, they still apply automatically. If a product fails one of these, the buyer can ask for a refund or replacement. These protections are built into the sale by default.

Example:

Sara buys a kettle that doesn’t boil water, overheats, and breaks in two days. Under the Sale of Goods Act, she can return it. The kettle isn’t fit for purpose, isn’t safe, and lacks quality. Even if the store didn’t mention these rules, the law still protects Sara. She's entitled to a refund or new product."
card197,Mill's Utilitarianism,Selecting the option that brings the greatest good to the greatest number embodies Mill's Utilitarianism.
card198,Finality vs. interpretation,"In codes & standards practice, 'finality' is the state a document reaches after the professional has applied all relevant codes & standards and it is ready for others to act on; 'interpretation' is the professional judgement used to select, understand, and apply those codes & standards correctly."
card199,Improving communication skills,The best way for a professional to improve poor communication skills is to pursue targeted Continuing Professional Development (CPD) activities.
card200,Whistle-blowing report,"If internal efforts fail and unsafe or illegal practice persists, a Canadian engineer should report to their provincial/territorial regulating body (engineering association)."
card201,Sealing documents,"Only final, completed documents may be sealed; drafts/preliminary prints are never sealed."
card202,Courtroom question on software,The key courtroom question when design relied on commercial software that later failed is: 'What tests did you perform to verify the software output was correct?'
card203,Builders' (all-risk) insurance,"Covers property or structure under construction (materials, labour & partially completed work)."
card204,Duty-to-inform,"Before deviating from an approved design, a P.Eng. must tell the employer the consequences of the deviation on safety, cost, schedule, codes, etc."
card205,Fukushima 2011 sequence,Correct order: (1) Earthquake → (2) Automatic reactor shut-off → (3) Tsunami floods plant → (4) Nuclear meltdown.
card206,1982 Lodgepole (Alberta) blow-out,"Taught industry that the single most critical prevention measure on drill sites is rigid adherence to safe, standardized drilling & kick-control procedures."
card207,Certified Engineering Technologist (C.E.T.),"Only those who voluntarily complete provincial certification may call themselves this; right-to-practice is open to diploma holders, but right-to-title is protected."
card208,Ownership of software created by an employee,"The employer owns it (copyright vests in employer, not the individual developer)."
card209,What is the main purpose of a Communications-System Policy (CSP)?,"Main purpose is to educate staff on risks/liabilities of digital communications (e.g., email, chat apps) & set acceptable-use rules for email, IM, etc.

A Communications-System Policy (CSP) tells staff how to safely and properly use work tools like email and messaging.
It teaches them about risks (like data leaks or lawsuits) and sets clear rules for what’s allowed.
The goal is to protect both the company and the employees.

Example

An employee sends a personal joke to a coworker over work email.
The CSP says email should only be used for business purposes.
It also warns that messages can be monitored and might be used in legal cases.
Because of the policy, the employee now knows to keep personal chats off work systems.
This prevents issues for them and the company."
card210,Company name requirements,"Must include ""Ltd./Inc./Corp."" to signal to outsiders that liability is limited to corporate assets."
card211,Software-development failure modes,Technical failure (can't meet spec) and Service failure (system doesn't deliver required function) most threaten public safety.
card212,Liability when design relied solely on software output,P.Eng. remains fully liable; must rigorously check outputs - responsibility cannot be delegated to the program.
card213,Unlicensed person offering structural-design software & support in Alberta,"Selling software is OK, but providing engineering design/consulting services requires a licence/permit."
card214,Whistle-blowing anonymity rule for Canadian P.Eng./P.Geo.,Must identify themselves and be ready to participate; regulator keeps identity confidential only as far as case allows - no fully anonymous reports.
card215,Whistle-blowing channel required by Canadian engineering Codes of Ethics,"Report unethical/unsafe conduct to the applicable provincial/territorial regulator, not to the media."
card216,Client insists on ignoring engineer's structural-safety recommendation - engineer's correct response,Explain the risks in plain language and withdraw from the work; do not assist or supervise unsafe construction.
card217,Professional liability (E&O) insurance in Canada: where & for whom is it most critical?,"Mandatory only in some provinces and especially essential for practitioners in private practice, who have the highest lawsuit exposure."
card218,Due-diligence defence factors (foreseeability / preventability / controllability / correctability): which is not considered?,"Correctability - courts focus on what could be foreseen, prevented or controlled before harm occurred."
card219,Purpose of a Failure Modes & Effects Analysis (FMEA),"Systematically list each component/assembly, identify how it can fail, and trace the effect of that failure on the larger system."
card220,Scope of a designer's hazard analysis — what uses must be considered?,"Normal use, foreseeable misuse, and failures - all potential hazards must be addressed."
card221,"When a design hazard (e.g., exposed blade) is essential and cannot be removed, professional obligation?",Warn users and provide effective shielding/guards to protect public safety.
card222,Three classic grounds for a product-liability lawsuit,1. Defective manufacture 2. Negligent design 3. Failure to warn of inherent dangers.
card223,Difference in focus: building codes vs standards,Codes prescribe how to construct/install; standards set minimum quality & uniformity requirements.
card224,"Professional duty when industry codes are ""very low"" or outdated",Exceed the minimum; engineer must raise the level of care to ensure reliability & safety.
card225,Best way to keep a proprietary manufacturing process secret,Use employment contracts with strong confidentiality (non-disclosure) clauses rather than patents or trademarks.
card226,First level of unsupervised practice in Canada,"Level C - Professional Engineer (fully licensed, independent practice)."
card227,Permit to Practice / CofA,Company must identify licensed individuals who will take professional responsibility for the work.
card228,Fraudulent conveyance,Moving assets to a spouse after learning of a pending lawsuit is considered a fraudulent conveyance; courts can reverse the transfer.
card229,Sealing a huge report,One seal+signature+date on the title or final page is sufficient if the engineer controlled all content.
card230,Design aspects outside competence,Consult a qualified specialist (who may seal that portion) before proceeding.
card231,Cost model for official electronic seals,Expect a one-time setup fee plus annual renewal to the certified digital-signature provider.
card232,First step for suspected falsified test results,"Discuss concerns with the colleague; if not resolved, escalate to employer and regulator."
card233,Obligation when reviewing another professional's work,"Inform the original professional of the review before starting, even if the employer requested it."
card234,What should you do if a project goes beyond your competence?,"Seek qualified assistance immediately; do not delay the client's project while you retrain (NPPE III.3).

If a job goes beyond your skills, you must get qualified help right away.
Don’t try to handle it alone or delay the client’s work while you retrain.
The priority is protecting the client and doing the work properly and safely.

Example

An engineer is asked to design a complex electrical system but only has experience with mechanical design.
Instead of trying to figure it out slowly or saying yes and hoping for the best, they call in an electrical expert.
This keeps the project moving and avoids mistakes.
The engineer can learn more later, but the client’s project must not suffer in the meantime."
card235,Peer sealing work they did not supervise,"Yes - if they perform a thorough review and accept full legal responsibility, they may sign & seal (NPPE III.3, Seal guideline)."
card236,Research scientist vs. Engineer core roles,Research scientist generates new knowledge; engineer applies that knowledge (NPPE III.3).
card237,Natural greenhouse effect importance,It's essential for life on Earth—retains heat and prevents extreme temperature swings (NPPE III.6).
card238,Required environmental literacy for P.Eng./P.Geo.,Possess enough knowledge to judge when a specialist is needed; not expected to be an environmental expert in all areas (Env. Guideline §3.1).
card239,"Meaning of ""peak oil""","After peak, easy oil is gone ⇒ production declines & prices likely rise sharply (NPPE III.6)."
card240,Causal chain to climate change,1️⃣ Gas emissions → 2️⃣ Enhanced greenhouse effect → 3️⃣ Global warming → 4️⃣ Climate change (NPPE III.6).
card241,Duty that violates your morals but not law/Ethics Code,"You may refuse, yet employer is entitled to discipline or dismiss you (Conscience vs. employment, NPPE III.2)."
card242,Who protects the owner's interests on a project?,"The consultant (engineer/geo) guides the client with technical advice and safeguards fairness, safety & schedule (Client-consultant duty, NPPE III.2)."
card243,Duty of loyalty/confidentiality in private practice,A self-employed P.Eng./P.Geo. owes the same loyalty & confidentiality to clients that an employee owes to an employer.
card244,"""Duty to inform"" when client overrules advice",Must clearly disclose risks—especially when the client lacks technical expertise—before accepting overridden direction.
card245,Risk-management duty in the Code,"Professionals must recognize, eliminate or reduce hazards that could harm people or property."
card246,QA trigger for design software,"Perform quality-assurance every time the software is updated, re-configured, or newly installed."
card247,"What's the biggest myth about deleting emails?
myth : AFSANE","That they're gone forever. In reality, emails are almost always recoverable—making them a high liability risk if you assume they can simply be deleted."
card248,Are insurers a direct accountability stakeholder?,"No - professionals are influenced by insurers but not directly accountable to them (unlike employers, clients, public, courts)."
card249,Posting false statements online,Internet libel is an actionable tort; same liability as other media.
card250,Coverage of a Commercial General Liability (CGL) policy,Third-party bodily injury and property damage claims.
card251,Working abroad with weak safety rules,Must still follow Canadian Code-of-Ethics duty: improve conditions even if local laws are silent/weak.
card252,"What exactly is a ""dummy run"" (or sanity check) when you adopt new engineering software?",Run a simple test case with a known answer to confirm the program's basic computations before relying on it.
card253,You’re sued over an alleged design error. Which insurance nickname covers this kind of professional negligence?,"Errors & Omissions (E&O) insurance — i.e., professional liability."
card254,What does McGregor’s Theory Y assume about employees?,"People naturally want to work; with purpose, trust, and autonomy, they’ll self-direct and can exceed expectations."
card255,Why is stamping a 66 % (preliminary) completed drawings wrong?,Only final professional work products may be sealed. Preliminary sets must remain un-stamped.
card256,ISO 9000 vs. ISO 14000,ISO 9000 → Quality-management systems. ISO 14000 → Environmental-management systems.
card257,Recommending a relative for a contract - neutralising conflict of interest,Fully disclose the relationship to the client/employer before they act on the recommendation.
card258,Standards vs. codes,Standards primarily guarantee quality & uniformity of materials/processes; they do not dictate aesthetic sameness.
card259,1989 Alaskan disaster that inspired the CERES sustainability principles,Exxon Valdez oil-spill.
card260,Duty of loyalty/confidentiality for sole-practitioner consultants,"They owe that duty to their clients, just as employees owe it to their employer."
card261,Who legally owns your physical or digital professional seal?,Your provincial/territorial association; you must surrender it on demand.
card262,Forgot to stamp a final drawing but you prepared/reviewed it - liability status,Still liable. Lack of a seal doesn't erase your professional or legal responsibility.
card263,What is a low-cost method to independently verify the accuracy of engineering software output for a project?,"Perform at least one hand calculation on a simplified case and compare it to the software output to ensure accuracy.

Example: For a bridge design, manually calculate the stress on a single beam under a simplified load and check if it matches the software's result. (Syllabus topic I.3, Ethics 5th ed. p.39 or 6th ed. p.35)"
card264,May you bill a 'stamp fee' on top of your review time?,"No. You can invoice for your professional hours, but charging for the mere act of stamping is prohibited."
card265,Common misconception about email deletion and legal discovery,Email is almost never truly deleted; it can usually be recovered in investigations — high liability risk.
card266,Key traits of an effective Communications-Systems Policy (CSP),"Must be written, legally vetted, and educate users on risks; a purely verbal policy is inadequate."
card267,Quick definition: what makes a dummy run different from reading the manual?,Manual = understanding usage; dummy run = executing a test case with known results inside the software.
card268,Client presses for drawings,"Tell the client it's a top priority but release the drawings only after a full, careful review."
card269,Core rule of the federal Fisheries Act (Canada),It forbids activities that could harm fish habitat (habitat-protection clause).
card270,Director who owns shares in a bidder,What must you do? Declare the conflict and abstain from the vote.
card271,Qualifications-Based Selection (QBS),How is the consultant's detailed scope of services produced? Client and consultant develop the scope jointly.
card272,Software-verification term,Run a simple test case with a known answer to see if the code behaves. Dummy run / sanity check.
card273,McGregor's Theory Y view of employee motivation,"Employees naturally like to work and, if properly motivated, will exceed expectations."
card274,Three Code-of-Ethics options when employer's order endangers the public,(1) Correct the problem (2) Whistle-blow (3) Resign in protest.
card275,"Why is it wrong to seal ""66 % complete"" design drawings?",Only final professional work products may be sealed; preliminaries stay un-stamped.
card276,"Collegial (Theory Y) management style: How do staff operate, and what is the manager's role?

(""Collegial"" just means ""cooperative and friendly, like colleagues working together as equals,"" not anything to do with college classes. It comes from the same root as ""colleague,"" meaning peers, rather than from ""college.""
Ask ChatGPT)","Staff work autonomously within an agreed framework; the manager acts as a facilitator—providing guidance, resources and removing obstacles—rather than micromanaging each task.

Example: A design team defines its own milestones and divides tasks among themselves; the manager checks in to offer support or training but doesn't assign or oversee every detail."
card277,Accepting a job with a client's competitor,New contract must not require disclosure of former client's confidential affairs.
card278,Recommending your brother-in-law for paid work,What must you do first? Fully disclose the relationship to the client to manage the conflict of interest.
card279,Designing safely when codes are missing,Deviate from or exceed the code using accepted engineering principles to protect the public.
card280,Primary purpose of technical standards,"To guarantee quality and uniformity of materials, products, or processes."
card281,"What global climate pact was adopted in 2015, and what is its temperature goal?",The Paris Agreement; it aims to keep global warming “well below 2°C” above pre-industrial levels. 
card282,When must design software be re-validated/quality-checked?,"Every time it is updated, patched, or re-configured."
card283,What does a Commercial General Liability (CGL) policy cover for engineering businesses?,"Third-party bodily injury (BI) and property damage (PD).

Commercial General Liability (CGL)
A type of insurance that protects businesses if someone else gets hurt or their property is damaged because of the business’s operations.

A CGL policy helps engineering businesses if someone outside the company gets hurt or has their property damaged because of the company’s work. It doesn’t cover damage to the company’s own things—just problems caused to others. This is important because it protects the business from lawsuits and big bills if accidents happen during a project or at the office.

Imagine an engineering company is visiting a client’s building, and one of their tools falls and injures someone—that’s bodily injury. Or maybe they accidentally damage a server room, causing expensive problems—property damage. In both cases, the CGL insurance would help pay for legal costs or compensation. That way, the business doesn't have to pay out of pocket."
card284,Indigenous-reserve projects: why can't you finance by mortgage?,Mortgages can't be registered on reserve land because the land is generally unpatented (Crown/Indigenous ownership).
card285,"Canadian law that governs how private-sector firms collect, use & disclose personal data",PIPEDA - Personal Information Protection and Electronic Documents Act.
card286,When can an engineer/geoscientist file a construction lien?,"Allowed if the engineer/geoscientist is a prime consultant (not merely a sub-consultant).

An engineer or geoscientist can file a lien to claim unpaid money only if they were hired as the main consultant (called a prime consultant). If they worked under someone else (like a sub-consultant), they can’t file a lien. The right to file a lien is for those who are directly responsible to the client. This helps protect primary contractors, not every person involved.

Example:

Jane is an engineer hired directly by a building owner to manage the whole project. If she doesn’t get paid, she can file a lien on the property to get her money. But Sam, who worked under Jane doing only part of the work, cannot file a lien himself. Only Jane has that legal right, since she is the prime consultant."
card287,Must money always change hands to form a contract?,"No. Consideration can be anything of value, not necessarily cash."
card288,"Sexual-harassment cases are heard where, and how broadly is harassment defined?","Human-rights tribunal; takes a wide view - unwelcome comments or advances suffice, no physical assault needed."
card289,"What offence involves buying shares based on confidential test results, and under which law is it prohibited?","Insider trading - illegal under the Criminal Code of Canada, section 382.1."
card290,What does federal law require when a project may affect Indigenous rights on claimed land?,"Duty rests on the Crown (government) for any project on claimed land, proven or unproven.

Example

Let’s say the government wants to build a pipeline through a forest. An Indigenous group says that land is part of their traditional territory, even if no court has officially confirmed it yet. The government still has a duty to talk with them, listen to their concerns, and possibly change the plan to reduce harm. That’s consultation and accommodation, and it's the government’s job, not the company’s."
card291,Accurate description of force majeure clause,"Excuses delay for events beyond parties' control (e.g., strikes, fires, pandemics)."
card292,What must a consultant and client do under Qualifications-Based Selection (QBS) for scope?,Jointly develop the detailed scope of services after selection.
card293,Subsurface anchors installed without consent on a neighbour's land,"Is it trespass? Yes. Property rights extend below and above the surface; unauthorized encroachment is trespass even if harmless.

Yes, it is trespass if you install things like anchors underground on someone else’s land without their permission. Property rights don’t just cover the surface—they go above and below the ground too. Even if the anchor doesn’t cause any damage, it’s still illegal. The law says unauthorized use is trespassing, no matter how harmless it seems. You always need the owner’s consent.

Example:

A contractor installs anchors underground that extend into a neighbour’s property. The anchors are hidden and don’t cause any harm. But the neighbour didn’t agree to it. Even though nothing is damaged, the contractor has trespassed. The neighbour could legally demand removal or sue for it."
card294,"In Canadian tort law, what is a professional’s “duty to warn”?",An obligation to warn about impending damage or injury to people or property when aware (or reasonably foreseeable). It applies even if the hazard isn’t in your scope—you must take steps to warn/prevent harm.
card295,"For liability in tort, the defendant's act must be ___ or ___",Intentional or negligent.
card296,Canadian Environmental Protection Act 1999 - enforcement powers,CEPA officers have powers comparable to police; not 'significantly less.'
card297,"What does ""privileged"" mean for statements made during negotiation?",They cannot be used as evidence in any later court or arbitration proceedings.
card298,Is different pay for the same job always discrimination?,"No - employers may differentiate on legitimate grounds such as greater experience or tenure; human-rights statutes bar discrimination only on protected grounds (sex, race, age, etc.)."
card299,Two clauses every multi-jurisdiction contract needs to avoid a conflict-of-laws fight,• Governing-law clause (which jurisdiction's law applies) • Forum/venue clause (which courts will hear any dispute).
card300,"Negligence, contracts, insurance - similarity of rules across Canada's common- & civil-law systems",Basic principles are fairly consistent in both systems; differences seldom affect normal engineering practice.
card301,Proper role of an expert witness,"Give neutral, independent technical opinion - not act as advocate for either party."
card302,"In the case citation “2 S.C.R. 547 (1998),” what does the “2” mean?

(Case citation means A standard legal reference to help people find a court decision.
S.C.R. Short for Supreme Court Reports — the official record of decisions by Canada’s Supreme Court.)",It’s the volume number of the Supreme Court Reports (not a chapter). 
card303,"Why is construction litigation often slow and costly?

Litigation: the process of resolving disputes in court
Specs: short for ""specifications,"" the detailed description of work and materials","Because it typically involves many stakeholders (owners, general contractors, subcontractors, suppliers) plus massive volumes of technical records—drawings, specs (detailed requirements), emails—that lawyers must painstakingly review.

Example:A delay dispute on a high-rise can drag on 12 months when counsel from the owner, GC and three subs pore over 10,000 emails and 800 CAD drawings—each page adding hours of billable time."
card304,Which court handles cases related to the Canadian Charter of Rights and Freedoms?,"The Supreme Court of Canada.

Here is the relation between the Charter and the Constitution:
The Charter is the part of the Constitution that protects your basic rights.

Think of the Constitution as the foundation of the whole Canadian legal house.
Inside that house, the Charter is the room where all your rights and freedoms live."
card305,"Harris, Pritchard & Rabins 'Golden Rule' for engineers abroad",Professionals should not impose their own choices on local people.
card306,Liability of Partners in a General Partnership-What liability do partners face for partnership debts and wrongful acts?,"▪️ Definition: In a general partnership, all partners are jointly and severally liable for the firm's debts and any wrongful acts, even if they didn't cause them.
▪️ Meaning of ""jointly and severally"": Each partner can be held responsible both together (jointly) and on their own (severally) for the entire obligation.
▪️ Example: The partnership owes a supplier $50 000. The supplier can sue Partner A alone for the full $50 000, or any other partner, regardless of who actually ordered the goods."
card307,"Negligence, contracts, insurance across Canada's systems",Basic principles are fairly consistent in both systems; differences seldom affect normal engineering practice.
card308,Quebec Civil Code on contract interpretation,Code says common intention prevails over literal text.
card309,Three elements of Canada's Constitution,1) Division of powers between federal & provincial governments 2) Creation of the courts 3) Canadian Charter of Rights and Freedoms.
card310,Duty of every worker under Occupational Health & Safety Acts,To take reasonable care to protect the health and safety of co-workers and anyone nearby while the worker is working.
card311,Trade-name vs. trademark,A trade name is only a provincial business registration.
card312,What is mediator confidentiality in dispute resolution?,"Definition: All communications (written or spoken) shared with the mediator during a mediation are legally privileged, meaning they cannot be disclosed or used later in arbitration or court.
Key term: Privileged - protected by law from being revealed as evidence.
Example: In private caucus, Company A admits it overlooked a safety risk. That admission stays in mediation and can't be brought into a later lawsuit."
card313,10% bid bond,"Guarantees that the winning bidder will enter into the contract and supply performance security; if the bidder backs out, the surety pays the owner up to the bond amount (typically 10% of the bid)."
card314,TN entry for Canadian engineer,Proof of Canadian or Mexican citizenship + a letter or contract describing the professional purpose of entry.
card315,What is Governing-law clause?,"Definition: A governing-law clause is a part of a contract that tells which state or country's laws will be used to decide any arguments about the deal. It helps everyone know in advance where to go and what rules to follow if they disagree. By choosing a specific jurisdiction, the parties reduce surprises and legal costs. This clause appears near the end of most agreements. It's especially important in deals crossing borders.
Key term: Jurisdiction → the legal authority or region whose courts and laws apply.
Example: ""Imagine two companies—one in California and one in Germany—signing a sales contract. They include a governing-law clause saying California law will apply. Later, they disagree over payment terms. Both sides then know they must ask a California court to interpret the contract. This saves time debating which country's rules to use. It makes the legal process clearer and faster.""
Persian (Farsi): BANDE GHANOON-E HAKEM!"
card316,Forum/venue clause,States which courts will hear any dispute in multi-country deals.
card317,What is a no-damages-for-delay clause in a construction contract?,"Blocks a contractor from claiming extra ""damages"" (compensation) for delays they cause, but doesn't stop claims if the owner orders a shutdown.

• Example: If a crew miss-schedule causes a week's delay, the contractor gets no extra pay. But if the owner suspends work for permits, the contractor can recover added costs."
card318,What is a per-diem rate and when is it best used?,"Definition: A fixed daily fee paid to a consultant (""per diem"" = ""per day"").
Use it when: The project's scope or hours can't be accurately predicted—gives cost certainty and flexibility.
Example: Hiring a site manager at $800/day, whether they oversee 1 task or 10 tasks in a day."
card319,What is quantum meruit and when can you use it?,"Definition: Latin for ""as much as deserved."" Allows you to recover a reasonable value for services and materials when no formal contract exists but the work was accepted.
Example: You clear a flooded basement in an emergency without a contract; the homeowner benefits and refuses to pay—so you sue on quantum meruit to get paid fairly."
card320,Occupational Health & Safety Act,"Employers must provide — and workers must help maintain — a safe, healthy workplace."
card321,What is the standard term of copyright protection in Canada?,Copyright lasts for the life of the creator plus 70 years.
card322,Human Rights Code,"Statute that bans hiring discrimination based on disability (or age, religion, etc.)."
card323,"Loser-Pays Cost Rule-What is it, and why does it matter?","▪️ Definition: A rule in many legal systems where the party that loses a lawsuit must pay a portion (or all) of the winning party's legal costs.
▪️ Purpose: Deters frivolous or weak claims by adding a financial consequence for the loser.
▪️ Example:Acme Corp sues Beta Ltd over a minor contract ambiguity. The court finds in Beta's favor and orders Acme to pay Beta's legal fees. Acme thinks twice before filing similar baseless suits in the future."
card324,Workers'-comp premiums,Calculated per employee and adjusted for the risk level of the employer's industry.
card325,Arbitration in construction contracts,"Construction contracts often use arbitration instead of court because it is generally faster, cheaper, and private compared with litigation."
card326,Entering the U.S. as a Canadian engineer under CUSMA/USMCA,Proof of Canadian citizenship + a letter or contract stating the professional purpose (TN category).
card327,What is a change order?,"A change order is basically a small written update to the contract when something changes during the project.
Think of it as a receipt that says:

how much extra work is being added

or how much work is being removed (a credit)

and what the new total contract price becomes.

It’s simple, but important. Without a change order, arguments explode later about “who agreed to what.”
So it acts like a financial bookmark that keeps everyone honest.

Analogy:
Imagine you’re at a barbershop.
You ask for a haircut ($30), but halfway through you say, “Can you also trim my beard?” The barber says, “That’s $10 extra.”
A change order is the written note that says:
“Haircut $30 + Beard trim $10 = $40 total.”
No surprises. No fights."
card328,Key difference: Québec Civil Code vs. Common-law courts,Civil Code puts less weight on case precedent; Common Law relies on it heavily.
card329,Five things that make a contract enforceable,"Offer/acceptance, mutual intent, consideration, capacity, and a lawful purpose (the deal itself can't be illegal)."
card330,Legal systems used in Canada,Common law (everywhere except Québec) and Civil law (Québec).
card331,"What's the golden rule for expert witness testimony?
(Expert witness = a specialist who gives opinion evidence in court)","Only offer opinions on matters within your documented expertise.

• E.g., a geotechnical engineer shouldn't testify on electrical circuitry."
card332,CCDC 2,"A standard Canadian fixed-price construction contract form issued by the Canadian Construction Documents Committee.

Example: A municipality uses CCDC 2 to award a $5 million bid for its new library, locking in the price and scope agreed in the contract."
card333,What is a material mistake in contract law?,"A material mistake is a significant error about a fact central to the contract that existed when the agreement was made, allowing the mistaken party to void the contract.

Example: Alice buys what she believes is an original painting. After signing, she learns it's a cheap replica. Because authenticity was essential, she can cancel the deal.

Difficult word:
Voidable - able to be legally canceled or undone by one party."
card334,Doctrine of Estoppel-What stops a party from enforcing strict contract terms after they've let the other side ignore them?,"A legal rule that prevents someone from insisting on a strict contract right if they previously waived it or led the other side to believe they would be lenient.

Example: A landlord accepts late rent for months without penalty. Later, they cannot suddenly enforce a late‐fee for those same missed due dates.

Difficult word:Waive - to voluntarily give up a right."
card335,Common-law trademark rights,Most affordable way to secure a business name if you're already using it widely in Canada.
card336,Duration of Canadian copyright after creator's death,Life of the author plus 70 years.
card337,Goal of arbitration versus court on construction jobs,"Generally cheaper, faster, and private compared with litigation."
card338,What are the five essential elements required for a contract to be legally enforceable in Canada?,"O A M C L → Offer/Acceptance, Mutual intent, Consideration, Capacity, Lawful purpose.

The five elements are: Offer and Acceptance, Mutual Intent to be bound, Consideration (something of value exchanged), Capacity (parties' legal ability to contract), and Lawful Purpose (legal objective).Example: A P.Eng. offers to design a bridge, the client accepts, both intend to be bound, payment is agreed, both are competent, and the purpose is legal. (Syllabus topic I.3, Law text p.12 or p.18)"
card339,"After a formal discipline hearing finds a member guilty, who issues the order of discipline?","The Discipline Committee issues the order of discipline (e.g., fine, suspension, terms). "
card340,Discipline vs. Enforcement,"The association charges a member with incompetence or breaching the Code of Ethics, then holds a hearing."
card341,Discipline order effect,The discipline order takes effect immediately; no formal hearing is held if the investigated engineer admits misconduct and accepts the proposed penalty.
card342,What is the typical order of a Practice Review Board (PRB) check?,(1) Review the firm’s written practice/quality procedures → (2) meet/interview key staff → (3) issue a report with findings & recommendations.
card343,Main purpose of a practice review of a firm,"To verify the firm has and follows an adequate practice plan and to flag risks or gaps, not to judge business performance."
card344,How does the Practice Review Board (PRB) verify the honesty and accuracy of members' self-reported CPD records each year?,"Each year, the Practice Review Board (PRB) audits (officially checks) a random sample of submitted Continuing Professional Development (CPD) records to verify their accuracy and honesty."
card345,Engineers Canada's reason for CPD in one word,"Maintains competence, a core duty in every Code of Ethics."
card346,"If two parties to an arbitration can't agree on a single arbitrator, how is the arbitrator chosen?","Either party may ask the court to appoint the arbitrator.

Arbitrator: a neutral third party who resolves the dispute."
card347,Arbitration appointment for low-quality fabric dispute,A court can appoint the arbitrator upon request if parties picked arbitration but can't agree on an arbitrator.
card348,Mandatory CPD Programs - What are they and who must do them?,"Continuing Professional Development (CPD) programs mandate ongoing learning (courses, workshops, etc.) to maintain professional competence. They're now required not just for engineers, but also for doctors, lawyers, accountants and others—both across Canada and around the world.

Example: An Ontario engineer must log ≥30 CPD hours/year to renew their P.Eng.; a UK physician must complete 50 CPD credits annually."
card349,Personal benefit of keeping up CPD hours,Better chance of promotions or pay-raises - you're more valuable to employers.
card350,Reviewer action after failing a practice review,Recommend the member be disciplined (discipline = official penalties from the regulator).
card351,Incompetence,Lack of adequate skill or care.
card352,PRB (Practice Review Board),"A committee of experienced professionals appointed by the association to audit members' competence and Continuing Professional Development (CPD) records, ensuring they meet practice standards."
card353,CPD records audit,"To check self-reports are fair and honest - i.e., truthful and complete."
card354,Certificate of Authorization / Permit to Practise,Allows the firm to practise engineering / geoscience through employees who are P.Eng./P.Geo. licence-holders.
